id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
NuBBE_2050_obabel_3D.mol2,Cc1ccc(O)c2c1C[C@H](C)OC2=O,192.214,46.53,3,1,1.8020199999999997,0,2
NuBBE_1047_obabel_3D.mol2,CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@H]4CC[C@@]23C)O1,460.74300000000034,49.69,3,2,6.7410000000000085,2,5
NuBBE_1231_obabel_3D.mol2,C[C@@H]([C@@H]1OC(C)(C)[C@@H](O)[C@H]1O)[C@@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@H](O)CC[C@@]4(C)[C@H]3CC[C@@]12C,474.7260000000004,69.92,4,3,5.487800000000006,2,5
NuBBE_41_obabel_3D.mol2,CC(C)=C/C=C/[C@@]1(C)CCN=C(N)N1,193.29399999999998,50.41,3,3,1.5755,2,1
NuBBE_2310_obabel_3D.mol2,C=CC[C@]12C=C(OC)[C@@H](O)[C@](OC)([C@@H](c3ccc4c(c3)OCO4)[C@@H]1C)[C@H]2O,374.4330000000001,77.38000000000001,6,2,2.3620000000000005,5,4
NuBBE_928_obabel_3D.mol2,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@]45C[C@]35CC[C@@]12C)C(C)C,426.7290000000003,20.23,1,1,8.02480000000001,5,5
NuBBE_1597_obabel_3D.mol2,CCCCCc1ccc2ccccc2n1,199.297,12.89,1,0,3.967500000000003,4,2
NuBBE_78_obabel_3D.mol2,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]21C)C(C)C,414.7180000000003,20.23,1,1,8.02480000000001,6,4
NuBBE_581_obabel_3D.mol2,O=C1C=CC[C@H](/C=C/C[C@H]2C[C@@H](O)[C@H](O)[C@@H](/C=C/c3ccccc3)O2)O1,356.4180000000001,75.99000000000001,5,2,2.3971,5,3
NuBBE_1289_obabel_3D.mol2,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@@H]3[C@@H]4O[C@@H]5C[C@@H](c6ccoc6)C(C)=C5[C@]4(C)[C@H](CC(=O)OC)[C@@]1(C)[C@@H]32,596.7170000000002,110.50000000000001,9,0,5.291000000000006,6,6
NuBBE_1190_obabel_3D.mol2,O=C(C=Cc1ccc(O)c(O)c1)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,342.3,156.91,9,6,-1.5459000000000005,4,2
NuBBE_1507_obabel_3D.mol2,CCC1C(=O)C[C@@H]2[C@@H]3CC[C@H]4C[C@@H](O)[C@@]5(O)C[C@@]4(CO5)[C@@H]3CC[C@]12C,348.4830000000002,66.76,4,2,2.9040000000000017,1,5
NuBBE_445_obabel_3D.mol2,C[C@H]1[C@@H](C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@H]5CC[C@@]43C)[C@@H]12,810.9750000000004,253.12999999999994,15,9,1.2369000000000028,7,7
